code,year_,freq,ITEM7210,ITEM7220,ITEM7230,ITEM7240,ITEM7250,ITEM5601,ITEM6001
29833,2010,A,295455299328,47791000000,75183000000,65067000000,14013000000,AAPL,APPLE INC.
29833,2011,A,376357185000,76615000000,116371000000,108598000000,25922000000,AAPL,APPLE INC.
29833,2012,A,499821045063,118210000000,176064000000,156508000000,41733000000,AAPL,APPLE INC.
29833,2013,A,504476450284,123549000000,207000000000,170910000000,37037000000,AAPL,APPLE INC.
29833,2014,A,647506851180,111547000000,231839000000,182795000000,39510000000,AAPL,APPLE INC.
29833,2015,A,587219540780,119355000000,290479000000,233715000000,53394000000,AAPL,APPLE INC.
29833,2016,A,618034746120,128249000000,321686000000,215639000000,45687000000,AAPL,APPLE INC.
29833,2017,A,867506995230,134047000000,375319000000,229234000000,48351000000,AAPL,APPLE INC.
29833,2018,A,750051491640,107147000000,365725000000,265595000000,59531000000,AAPL,APPLE INC.
29833,2019,A,1.3047563E12,90488000000,338516000000,260174000000,55256000000,AAPL,APPLE INC.
36131,2010,A,180220332517,23046000000,110232000000,99870000000,14833000000,IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION
36131,2011,A,213886009868,20138000000,112930000000,106916000000,15855000000,IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION
36131,2012,A,214031778338,18860000000,115240000000,104507000000,16604000000,IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION
36131,2013,A,197772108053,22792000000,123172000000,99751000000,16483000000,IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION
36131,2014,A,158919631894,11869000000,112724000000,92793000000,12022000000,IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION
36131,2015,A,132903587135,14262000000,105673000000,81741000000,13190000000,IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION
36131,2016,A,157004530224,18246000000,112246000000,79919000000,11872000000,IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION
36131,2017,A,141480736700,17594000000,120494000000,79139000000,5753000000,IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION
36131,2018,A,101448134535,16795000000,118166000000,79591000000,8728000000,IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION
36131,2019,A,118908285254,20841000000,147004000000,77147000000,9431000000,IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION
37758,2010,A,241923880000,46175000000,86113000000,61989000000,18760000000,MSFT,MICROSOFT CORPORATION
37758,2011,A,217440960000,57083000000,108704000000,69950000000,23150000000,MSFT,MICROSOFT CORPORATION
37758,2012,A,223853995700,66363000000,121271000000,73723000000,16978000000,MSFT,MICROSOFT CORPORATION
37758,2013,A,311550480000,78944000000,142431000000,77849000000,21863000000,MSFT,MICROSOFT CORPORATION
37758,2014,A,382701550000,89784000000,172384000000,86833000000,22074000000,MSFT,MICROSOFT CORPORATION
37758,2015,A,445337960000,80083000000,176159000000,93580000000,12193000000,MSFT,MICROSOFT CORPORATION
37758,2016,A,485189120000,71997000000,193475000000,85320000000,16798000000,MSFT,MICROSOFT CORPORATION
