code,year_,freq,ITEM6008,ITEM7011,ITEM8406
2340,2010,A,BE0974293251,,
2340,2011,A,BE0974293251,,
2340,2012,A,BE0974293251,,
2340,2013,A,BE0974293251,,
2340,2014,A,BE0974293251,,
2340,2015,A,BE0974293251,,
2340,2016,A,BE0974293251,,
2340,2017,A,BE0974293251,,
2340,2018,A,BE0974293251,,
2340,2019,A,BE0974293251,,
2343,2010,A,BE0974293251,114313,742327.69676
2343,2011,A,BE0974293251,116278,741963.98287
2343,2012,A,BE0974293251,117632,784948.07535
2343,2013,A,BE0974293251,154587,661593.84683
2343,2014,A,BE0974293251,154029,759687.35758
2343,2015,A,BE0974293251,152321,806921.79017
2343,2016,A,BE0974293251,206633,1179626.4875
2343,2017,A,BE0974293251,200000,1021274.7
2343,2018,A,BE0974293251,175000,1149276.0686
2343,2019,A,BE0974293251,175000,1197466.6743
2343,2020,A,BE0974293251,,
7028,2010,A,FR0000120628,102957,6962139.534
7028,2011,A,FR0000120628,96996,7385211.7613
7028,2012,A,FR0000120628,94364,7929337.4592
7028,2013,A,FR0000120628,93146,7914145.535
7028,2014,A,FR0000120628,96279,8514504.7207
7028,2015,A,FR0000120628,98279,8804047.6602
7028,2016,A,FR0000120628,97707,8969449.4765
7028,2017,A,FR0000120628,95728,8944196.0555
7028,2018,A,FR0000120628,104065,8687157.0653
7028,2019,A,FR0000120628,99843,7584477.6299
7028,2020,A,FR0000120628,,
7083,2010,A,FR0000125486,179527,313425.27865
7083,2011,A,FR0000125486,183320,329457.23325
7083,2012,A,FR0000125486,192701,318566.06868
7083,2013,A,FR0000125486,190704,329452.97424
7083,2014,A,FR0000125486,185300,338774.95953
7083,2015,A,FR0000125486,185000,334427.02703
7083,2016,A,FR0000125486,183487,368979.81873
7083,2017,A,FR0000125486,194428,357705.68025
7083,2018,A,FR0000125486,211233,355247.52288
7083,2019,A,FR0000125486,222000,408702.7027
7083,2020,A,FR0000125486,,
7598,2010,A,FR0000120578,101575,809382.22988
7598,2011,A,FR0000120578,113719,848864.30588
7598,2012,A,FR0000120578,111974,857609.80228
7598,2013,A,FR0000120578,112128,819697.13185
7598,2014,A,FR0000120578,113496,815288.64453
7598,2015,A,FR0000120578,115631,844124.84541
7598,2016,A,FR0000120578,106859,935840.68726
7598,2017,A,FR0000120578,106556,896580.20196
7598,2018,A,FR0000120578,104226,1024648.3603
7598,2019,A,FR0000120578,100409,1068649.2247
7598,2020,A,FR0000120578,,
8000,2010,A,FR0010208488,236116,774991.95311
8000,2011,A,FR0010208488,240303,882348.53497
8000,2012,A,FR0010208488,236156,863670.6245
8000,2013,A,FR0010208488,147200,1079816.5761
8000,2014,A,FR0010208488,152900,1074722.0406
8000,2015,A,FR0010208488,154950,1028576.9603
8000,2016,A,FR0010208488,153090,1027167.0259
8000,2017,A,FR0010208488,150000,996860
8000,2018,A,FR0010208488,160000,953975
8000,2019,A,FR0010208488,171000,929432.74854
8000,2020,A,FR0010208488,,
8049,2010,A,FR0000121014,83542,436858.1073
8049,2011,A,FR0000121014,97559,475127.87134
8049,2012,A,FR0000121014,106348,461212.24659
8049,2013,A,FR0000121014,114635,477733.67645
8049,2014,A,FR0000121014,121289,428117.96618
8049,2015,A,FR0000121014,125346,444018.95553
8049,2016,A,FR0000121014,134476,428061.51284
8049,2017,A,FR0000121014,128637,519384.00305
8049,2018,A,FR0000121014,136633,529652.42657
8049,2019,A,FR0000121014,147715,637937.921
8049,2020,A,FR0000121014,,
8135,2010,A,FR0000121972,123482,243177.14323
8135,2011,A,FR0000121972,140491,245154.49388
8135,2012,A,FR0000121972,152384,225817.67115
8135,2013,A,FR0000121972,163033,216121.88943
8135,2014,A,FR0000121972,185965,209706.1275
8135,2015,A,FR0000121972,181362,220955.8783
8135,2016,A,FR0000121972,170866,229876.04322
8135,2017,A,FR0000121972,153124,246545.28356
8135,2018,A,FR0000121972,152058,264497.75743
8135,2019,A,FR0000121972,151297,284202.5949
8135,2020,A,FR0000121972,,
8349,2010,A,FR0000127771,54561,1047579.7731
8349,2011,A,FR0000127771,58400,929760.27397
8349,2012,A,FR0000127771,58050,1025219.6382
8349,2013,A,FR0000127771,41439,1169116.0501
8349,2014,A,FR0000127771,15000,2335200
8349,2015,A,FR0000127771,16395,2093565.1113
8349,2016,A,FR0000127771,20300,1557290.6404
8349,2017,A,FR0000127771,33200,1015481.9277
8349,2018,A,FR0000127771,41600,810769.23077
8349,2019,A,FR0000127771,43900,832892.9385
8349,2020,A,FR0000127771,,
8350,2010,A,FR0000121485,61910,389832.01421
8350,2011,A,FR0000121485,52107,468102.17437
8350,2012,A,FR0000121485,29378,839277.69079
8350,2013,A,FR0000121485,31415,705424.16043
8350,2014,A,FR0000121485,37441,600835.98194
8350,2015,A,FR0000121485,38801,592799.15466
8350,2016,A,FR0000121485,40052,579546.58943
8350,2017,A,FR0000121485,44055,558683.46385
8350,2018,A,FR0000121485,34795,590239.97701
8350,2019,A,FR0000121485,38068,677224.96585
8350,2020,A,FR0000121485,,
8364,2010,A,FR0000131104,,
8364,2011,A,FR0000131104,,
8364,2012,A,FR0000131104,,
8364,2013,A,FR0000131104,,
8364,2014,A,FR0000131104,,
8364,2015,A,FR0000131104,,
8364,2016,A,FR0000131104,,
8364,2017,A,FR0000131104,,
8364,2018,A,FR0000131104,,
8364,2019,A,FR0000131104,,
8365,2010,A,FR0000131104,205348,9685587.3931
8365,2011,A,FR0000131104,198423,9857425.8025
8365,2012,A,FR0000131104,188551,10073767.84
8365,2013,A,FR0000131104,184545,9713500.7722
8365,2014,A,FR0000131104,187903,11019515.388
8365,2015,A,FR0000131104,189077,10513256.504
8365,2016,A,FR0000131104,192419,10762253.208
8365,2017,A,FR0000131104,196128,9969112.0085
8365,2018,A,FR0000131104,202624,10046065.619
8365,2019,A,FR0000131104,198816,10863094.52
8365,2020,A,FR0000131104,,
8384,2010,A,FR0000121667,,
8384,2011,A,FR0000121667,,
8384,2012,A,FR0000121667,,
8384,2013,A,FR0000121667,,
8384,2014,A,FR0000121667,,
8384,2015,A,FR0000121667,,
8384,2016,A,FR0000121667,,
8384,2017,A,FR0000121667,,
8384,2018,A,FR0000121667,,
8384,2019,A,FR0000121667,,
8386,2010,A,FR0000121667,42704,119891.20457
8386,2011,A,FR0000121667,48700,124363.38809
8386,2012,A,FR0000121667,50668,134018.19689
8386,2013,A,FR0000121667,55129,135409.67549
8386,2014,A,FR0000121667,58032,183312.65509
8386,2015,A,FR0000121667,60883,193847.21515
8386,2016,A,FR0000121667,63676,203781.64458
8386,2017,A,FR0000121667,66918,180653.93467
8386,2018,A,FR0000121667,150616,304967.59972
8386,2019,A,FR0000121667,151242,344838.07408
8386,2020,A,FR0000121667,,
8448,2010,A,FR0000073272,,
8448,2011,A,FR0000073272,,
8448,2012,A,FR0000073272,,
8448,2013,A,FR0000073272,,
8448,2014,A,FR0000073272,,
8448,2015,A,FR0000073272,,
8448,2016,A,FR0000073272,,
8448,2017,A,FR0000073272,,
8448,2018,A,FR0000073272,,
8448,2019,A,FR0000073272,,
8450,2010,A,FR0000073272,53407,342970.02266
8450,2011,A,FR0000073272,53407,382927.33162
8450,2012,A,FR0000073272,62558,363534.63985
8450,2013,A,FR0000073272,66289,358551.19251
8450,2014,A,FR0000073272,68945,375734.28095
8450,2015,A,FR0000073272,70087,392697.64721
8450,2016,A,FR0000073272,66490,446788.99083
8450,2017,A,FR0000073272,58324,550459.50209
8450,2018,A,FR0000073272,92639,434255.55112
8450,2019,A,FR0000073272,95443,445889.16945
8450,2020,A,FR0000073272,,
8467,2010,A,FR0000120271,,
8467,2011,A,FR0000120271,,
8467,2012,A,FR0000120271,,
8467,2013,A,FR0000120271,,
8467,2014,A,FR0000120271,,
8467,2015,A,FR0000120271,,
8467,2016,A,FR0000120271,,
8467,2017,A,FR0000120271,,
8467,2018,A,FR0000120271,,
8467,2019,A,FR0000120271,,
8470,2010,A,FR0000120271,92855,1532927.683
8470,2011,A,FR0000120271,96104,1688608.1745
8470,2012,A,FR0000120271,97126,1750272.8415
8470,2013,A,FR0000120271,98799,1727557.9712
8470,2014,A,FR0000120271,100307,1860982.9125
8470,2015,A,FR0000120271,96019,2115022.4643
8470,2016,A,FR0000120271,102168,2102676.7677
8470,2017,A,FR0000120271,98277,2014840.1966
8470,2018,A,FR0000120271,104460,2087749.6458
8470,2019,A,FR0000120271,107776,2210451.0837
8470,2020,A,FR0000120271,,
8491,2010,A,FR0000120644,100995,271775.83049
8491,2011,A,FR0000120644,101885,272218.67792
8491,2012,A,FR0000120644,102401,281667.17122
8491,2013,A,FR0000120644,104642,288784.61803
8491,2014,A,FR0000120644,99927,309335.81515
8491,2015,A,FR0000120644,99771,318830.12098
8491,2016,A,FR0000120644,99091,435135.38061
8491,2017,A,FR0000120644,104843,415344.84896
8491,2018,A,FR0000120644,105783,410425.11557
8491,2019,A,FR0000120644,102449,435065.25198
8491,2020,A,FR0000120644,,
8495,2010,A,FR0000120073,43600,509892.20183
8495,2011,A,FR0000120073,46200,515867.96537
8495,2012,A,FR0000120073,49500,497747.47475
8495,2013,A,FR0000120073,50250,493391.04478
8495,2014,A,FR0000120073,50300,526429.42346
8495,2015,A,FR0000120073,51500,557401.94175
8495,2016,A,FR0000120073,66700,658709.14543
8495,2017,A,FR0000120073,65200,625289.8773
8495,2018,A,FR0000120073,66000,631784.84848
8495,2019,A,FR0000120073,67200,645980.65476
8495,2020,A,FR0000120073,,
8501,2010,A,FR0000120321,,
8501,2011,A,FR0000120321,,
8501,2012,A,FR0000120321,,
8501,2013,A,FR0000120321,,
8501,2014,A,FR0000120321,,
8501,2015,A,FR0000120321,,
8501,2016,A,FR0000120321,,
8501,2017,A,FR0000120321,,
8501,2018,A,FR0000120321,,
8501,2019,A,FR0000120321,,
8503,2010,A,FR0000120321,66619,351527.34205
8503,2011,A,FR0000120321,68886,380138.19934
8503,2012,A,FR0000120321,72637,396592.64562
8503,2013,A,FR0000120321,77452,395364.87115
8503,2014,A,FR0000120321,78611,397206.49782
8503,2015,A,FR0000120321,82881,400132.72041
8503,2016,A,FR0000120321,89331,392718.09338
8503,2017,A,FR0000120321,82606,421384.64518
8503,2018,A,FR0000120321,86030,440367.31373
8503,2019,A,FR0000120321,87974,489150.20347
8503,2020,A,FR0000120321,,
8522,2010,A,FR0000120693,18917,1363852.6193
8522,2011,A,FR0000120693,17926,1352225.8173
8522,2012,A,FR0000120693,18308,1442538.7809
8522,2013,A,FR0000120693,18608,1384726.9991
8522,2014,A,FR0000120693,18308,1403211.7107
8522,2015,A,FR0000120693,18232,1538997.3673
8522,2016,A,FR0000120693,18237,1540439.7653
8522,2017,A,FR0000120693,18442,1502602.7546
8522,2018,A,FR0000120693,18914,1480490.6419
8522,2019,A,FR0000120693,19140,1538923.72
8522,2020,A,FR0000120693,18776,1589635.7052
8979,2010,A,DE0005810055,3490,42648366.762
8979,2011,A,DE0005810055,3588,60756382.386
